pref,city,district,,
広島県,竹原市,忠海町,34.305208333333333,132.995312499999983
広島県,大崎上島町,,,
広島県,似島町,,,
広島県,廿日市市,宮島町,,
広島県,大竹市,阿多田,,
島根県,海士町,,,
島根県,西ノ島町,,,
島根県,知夫村,,,
島根県,隠岐の島町,,,
山口県,萩市,見島,,
山口県,下関市,大字蓋井島,,
山口県,萩市,大島,,
山口県,萩市,相島,,
山口県,萩市,櫃島,,
山口県,岩国市,柱島,,
山口県,周防大島町,大字浮島,,
山口県,周防大島町,大字久賀,34.001041666666666,132.2671875
山口県,周防大島町,大字久賀,33.998958333333327,132.2671875
山口県,柳井市,平郡,,
山口県,上関町,大字八島,,
山口県,上関町,大字祝島,,
山口県,田布施町,大字馬島,,
山口県,平生町,大字佐合島,,
山口県,光市,大字牛島,,
山口県,防府市,大字野島,,
山口県,周南市,大字大津島,,
高知県,宿毛市,沖の島町,,
愛媛県,宇和島市,日振島,,
愛媛県,宇和島市,津島町竹ケ島,,
愛媛県,愛南町,鹿島,,
愛媛県,宇和島市,戸島,,
愛媛県,大洲市,長浜町青島,,
愛媛県,上島町,,,
愛媛県,上島町,高井神島,,
愛媛県,上島町,魚島,,
愛媛県,上島町,大木,,
愛媛県,上島町,井の浦,,
愛媛県,上島町,えびす,,
愛媛県,上島町,西,,
愛媛県,上島町,新川,,
愛媛県,上島町,東,,
愛媛県,上島町,春日,,
愛媛県,上島町,因幡,,
愛媛県,松山市,津和地,,
愛媛県,松山市,元怒和,,
愛媛県,松山市,上怒和,,
愛媛県,松山市,宇和間,,
愛媛県,松山市,熊田,,
愛媛県,松山市,神浦,,
愛媛県,松山市,吉木,,
愛媛県,松山市,饒,,
愛媛県,松山市,中島大浦,,
愛媛県,松山市,宮野,,
愛媛県,松山市,長師,,
愛媛県,松山市,小浜,,
愛媛県,松山市,畑里,,
愛媛県,松山市,中島粟井,,
愛媛県,松山市,睦月,,
愛媛県,松山市,野忽那,,
愛媛県,松山市,門田町,,
愛媛県,松山市,由良町,,
愛媛県,松山市,泊町,,
愛媛県,松山市,安居島,,
愛媛県,今治市,来島,,
愛媛県,今治市,吉海町津島,,
愛媛県,今治市,宮窪町宮窪,34.184375,133.0859375
愛媛県,今治市,宮窪町宮窪,34.182291666666664,133.0859375
愛媛県,今治市,今治村,34.061458333333334,133.1109375
香川県,観音寺市,伊吹町,,
香川県,三豊市,詫間町粟島,,
香川県,三豊市,詫間町志々島,,
香川県,多度津町,高見,,
香川県,多度津町,佐柳,,
香川県,広島町,,,
香川県,手島町,,,
香川県,丸亀市,牛島,,
香川県,丸亀市,本島町,,
香川県,坂出市,与島町,34.394791666666656,133.8296875
香川県,直島町,,,
香川県,土庄町,,,
香川県,小豆島町,,,
香川県,高松市,男木町,,
香川県,高松市,女木町,,
香川県,高松市,庵治町,34.409375,134.1078125
香川県,高松市,庵治町,34.405208333333327,134.1078125
香川県,高松市,庵治町,34.407291666666666,134.1078125
香川県,高松市,庵治町,34.405208333333327,134.104687500000011
香川県,高松市,庵治町,34.404478,134.105435
香川県,高松市,庵治町,34.408581632300461,134.1068718669909
徳島県,牟岐町,大字牟岐浦,33.63645833333334,134.4265625
徳島県,牟岐町,大字牟岐浦,33.63528872189975,134.42297119431726
徳島県,牟岐町,大字牟岐浦,33.6365639574353,134.42457772490468
徳島県,牟岐町,大字牟岐浦,33.636458333333337,134.4203125
徳島県,牟岐町,大字牟岐浦,33.636458333333337,134.423437499999977
徳島県,牟岐町,大字牟岐浦,33.634375,134.426562499999989
徳島県,阿南市,椿町,33.844791666666666,134.8078125
徳島県,阿南市,椿町,33.844563,134.809154
徳島県,阿南市,椿町,33.842702,134.807377
徳島県,阿南市,椿町,33.844791666666666,134.8046875
徳島県,阿南市,椿町,33.842708333333334,134.807812500000011
徳島県,阿南市,椿町,33.844791666666666,134.807812500000011
徳島県,阿南市,椿町,33.844791666666666,134.8109375
福岡県,西区,大字玄界島,,
福岡県,西区,大字小呂島,,
福岡県,宗像市,地島,,
福岡県,宗像市,大島,,
福岡県,糸島市,志摩姫島,,
福岡県,新宮町,大字相島,,
佐賀県,唐津市,神集島,,
佐賀県,唐津市,肥前町向島,,
佐賀県,唐津市,鎮西町馬渡島,,
佐賀県,唐津市,鎮西町松島,,
佐賀県,唐津市,鎮西町加唐島,,
佐賀県,唐津市,呼子町小川島,,
長崎県,壱岐市,,,
長崎県,平戸市,度島町,,
長崎県,平戸市,神浦,,
長崎県,平戸市,前平,,
長崎県,平戸市,西宇戸,,
長崎県,平戸市,大根坂,,
長崎県,平戸市,的山川内,,
長崎県,平戸市,的山戸田,,
長崎県,松浦市,星鹿町,,
長崎県,松浦市,黒島免,,
長崎県,対馬市,,,
長崎県,長崎市,高島町,,
長崎県,長崎市,神浦口福町,,
長崎県,長崎市,神浦夏井町,,
長崎県,長崎市,池島町,,
長崎県,佐世保市,黒島町,,
長崎県,佐世保市,高島町,,
長崎県,西海市,松島内郷,,
長崎県,西海市,松島外郷,,
長崎県,西海市,江島,,
長崎県,西海市,平島,,
長崎県,佐世保市,宇久町,,
長崎県,五島市,,,
長崎県,小値賀町,,,
長崎県,新上五島町,,,
熊本県,上天草市,湯島,,
熊本県,天草市,横浦,,
熊本県,天草市,牧島,,
熊本県,天草市,御所浦,,
鹿児島県,長島町,獅子島,,
鹿児島県,三島村,,,
鹿児島県,十島村,,,
鹿児島県,西之表市,,,
鹿児島県,薩摩川内市,里町里,,
鹿児島県,薩摩川内市,上甑町,,
鹿児島県,薩摩川内市,下甑町,,
鹿児島県,薩摩川内市,鹿島町藺牟田,,
鹿児島県,南さつま市,片浦,,
鹿児島県,奄美市,,,
鹿児島県,中種子町,,,
鹿児島県,南種子町,,,
鹿児島県,屋久島町,,,
鹿児島県,大和村,,,
鹿児島県,宇検村,,,
鹿児島県,瀬戸内町,,,
鹿児島県,龍郷町,,,
鹿児島県,喜界町,,,
鹿児島県,徳之島町,,,
鹿児島県,天城町,,,
鹿児島県,伊仙町,,,
鹿児島県,和泊町,,,
鹿児島県,知名町,,,
鹿児島県,与論町,,,
大分県,佐伯市,大字大島,,
大分県,姫島村,,,
大分県,津久見市,大字長目,33.159375,131.97968749999998
大分県,津久見市,大字長目,33.16053,131.979628
大分県,津久見市,大字保戸島,,
大分県,佐伯市,大字蒲江浦,32.72395833333333,131.9265625
大分県,佐伯市,大字蒲江浦,32.77395833333333,131.9203125
大分県,佐伯市,大字蒲江浦,32.776041666666664,131.9203125
大分県,佐伯市,大字蒲江浦,32.773958333333333,131.9203125
大分県,佐伯市,大字蒲江浦,32.72604166666666,131.926562499999989
大分県,佐伯市,大字蒲江浦,32.721875,131.926562499999989
大分県,佐伯市,大字蒲江浦,32.721875,131.9296875
大分県,佐伯市,大字蒲江浦,32.723958333333329,131.926562499999989
宮崎県,延岡市,島浦町,,
宮崎県,串間市,大字市木築島,,
宮崎県,日南市,目井津,,
沖縄県,竹富町,,,
沖縄県,伊是名村,,,
沖縄県,石垣市,,,
沖縄県,宮古島市,,,
沖縄県,伊江村,,,
沖縄県,渡嘉敷村,,,
沖縄県,座間味村,,,
沖縄県,粟国村,,,
沖縄県,渡名喜村,,,
沖縄県,南大東村,,,
沖縄県,北大東村,,,
沖縄県,伊平屋村,,,
沖縄県,伊是名村,,,
沖縄県,久米島町,,,
沖縄県,多良間村,,,
沖縄県,竹富町,,,
沖縄県,与那国町,,,
